轮次,学习率,训练损失,训练准确率,验证损失,验证准确率,本轮耗时（秒）,累计耗时（秒）
92,0.1,0.18328332435290018,0.9362888888888888,0.33539765682220457,0.8944,26.76386570000068,2094.911301600001
93,0.1,0.18715504438082378,0.9346888888888889,0.3384156442642212,0.8956,25.517574499999682,2120.428990300001
94,0.1,0.19244754182696341,0.9322444444444444,0.33433425154685975,0.8938,26.29085849999865,2146.719963200001
95,0.1,0.18299241401619382,0.9350222222222222,0.43295984477996824,0.8718,25.68024340000011,2172.4003255000007
96,0.1,0.18974836523267957,0.9330666666666667,0.4998287002563477,0.8526,26.628750599998966,2199.0292124999996
97,0.1,0.18860591123104095,0.9347333333333333,0.3401588751792908,0.8928,26.109865100001116,2225.1391858999996
98,0.1,0.18606635175943376,0.9340888888888889,0.34729584608078,0.8994,25.34050500000012,2250.4798073
99,0.1,0.1856911882142226,0.9346444444444445,0.3622610547065735,0.8872,25.164218300000357,2275.644196700001
100,0.1,0.1832246194369263,0.9356666666666666,0.357964679145813,0.8934,26.05893069999911,2301.703244800001
101,0.1,0.18459806095229256,0.9359333333333333,0.5106817645072937,0.8584,24.74260999999933,2326.4459792
102,0.1,0.18801162750191158,0.9325777777777777,0.4073828995704651,0.8758,22.774213700000473,2349.2203061
103,0.1,0.18330706802209218,0.9358,0.4569258110046387,0.8736,24.874323000000004,2374.0947467000005
104,0.1,0.1857743419488271,0.9349111111111111,0.41188177852630614,0.8858,24.19745470000089,2398.2923133000004
105,0.1,0.18422575770484076,0.9347555555555556,0.3536223691940308,0.8952,25.94304379999994,2424.2354781000013
106,0.1,0.18904619642628565,0.9335333333333333,0.36018774735927583,0.8836,26.209962400000222,2450.445552500001
107,0.1,0.18494964890140625,0.9358222222222222,0.30518488616943357,0.905,26.73016259999895,2477.175828900001
108,0.1,0.18238555196391212,0.9358666666666666,0.45260278253555297,0.8714,26.13653720000002,2503.312476500001
109,0.1,0.1797316380865044,0.9369777777777778,0.30997326002120973,0.902,26.760881199999858,2530.0734709000008
110,0.1,0.17884365859561496,0.9362888888888888,0.3855255369186401,0.8848,26.205692699999418,2556.279273
111,0.1,0.1892065642701255,0.9340666666666667,0.36600757904052733,0.889,26.78656349999983,2583.0659539999997
112,0.1,0.18570703324211968,0.9352,0.37082757110595704,0.8876,26.500834899999973,2609.5669135000007
113,0.1,0.18893634199566312,0.9326888888888889,0.4546469343185425,0.867,26.335515799999484,2635.9025715000007
114,0.1,0.19564147233433193,0.9318666666666666,0.5192161836624145,0.8632,23.247020599999814,2659.1497194000003
115,0.1,0.18577101274066501,0.9348666666666666,0.42721099185943606,0.8724,21.967065799999546,2681.116906700001
116,0.1,0.18171251148647732,0.9368666666666666,0.47252495708465575,0.8634,21.96673119999832,2703.083748700001
117,0.1,0.18958089835908679,0.9341555555555555,0.31510931701660155,0.905,21.993675699999585,2725.0775529000002
118,0.1,0.18187178495195178,0.9370222222222222,0.41933958530426024,0.8762,22.020647699999245,2747.0983159000007
119,0.1,0.18501809239056374,0.9355111111111111,0.31906551151275636,0.903,21.97916819999955,2769.0775978
120,0.1,0.17573495019806756,0.938,0.4439355369567871,0.8688,22.020837899999606,2791.0985434000013
121,0.1,0.19069758348994784,0.9328888888888889,0.31822788419723513,0.8972,21.96100860000115,2813.0596700000006
122,0.1,0.18338949219385783,0.9355333333333333,0.6006245355606079,0.8352,22.02599139999984,2835.0857811000005
123,0.1,0.18416477643648782,0.9366888888888889,0.3539522919654846,0.8952,21.944978899999114,2857.030877000001
124,0.1,0.1801889644993676,0.9364666666666667,0.3843462252616882,0.8846,21.96007219999956,2878.9910676
125,0.1,0.18344996909035577,0.9357555555555556,0.5216702787399292,0.8488,21.920409599999402,2900.9115941
126,0.1,0.17975293865468767,0.9371333333333334,0.5375909026145935,0.8486,21.96535909999875,2922.877065300001
127,0.1,0.1842272885301047,0.9356666666666666,0.3782066347122192,0.887,21.979432000000088,2944.856616500001
128,0.1,0.17743750797907512,0.9382888888888888,0.3704607111930847,0.8842,21.998085000001083,2966.8548192
129,0.1,0.18813288759125604,0.9335777777777777,0.3577450985431671,0.8918,21.970587899999373,2988.8255152
130,0.1,0.18595554602411057,0.9349555555555555,0.4002034825325012,0.8856,21.977142300000196,3010.802779900001
131,0.1,0.17527937422063616,0.9381111111111111,0.43470551064014434,0.8762,22.01265919999969,3032.815559300001
132,0.1,0.1857856347401937,0.9352444444444444,0.3519163986206055,0.892,21.965789799998674,3054.781467500001
133,0.1,0.17574171057807075,0.9400666666666667,0.37519684019088745,0.8854,21.974587599999722,3076.756181500001
134,0.1,0.18626564698749118,0.9347333333333333,0.43075769186019897,0.87,22.003057500000068,3098.7593468000014
135,0.1,0.17602820181846618,0.9378888888888889,0.3363150794029236,0.8944,21.949734300000273,3120.7092051
136,0.1,0.17865242443879445,0.9385333333333333,0.37842221274375915,0.8838,21.975280599999678,3142.6846041999997
137,0.1,0.1840973712682724,0.9349333333333333,0.3870141570091248,0.8836,22.008168899999873,3164.6928952
138,0.1,0.1788939002722502,0.9376,0.3814760280609131,0.8874,21.988708699998824,3186.681714800001
139,0.1,0.17357764370176526,0.9394666666666667,0.4002682436466217,0.8826,22.02443250000033,3208.7062681999996
140,0.1,0.17946030897299448,0.9371777777777778,0.48632732334136963,0.8616,22.0259659000003,3230.7323542000013
141,0.1,0.17222313293086158,0.9404222222222223,0.43968975706100466,0.8812,21.978116500000397,3252.710593900001
142,0.1,0.1873296793023745,0.9349333333333333,0.33018663229942324,0.9004,22.013520399999834,3274.7242355
143,0.1,0.1736975068251292,0.9395333333333333,0.32667119417190554,0.8996,22.05605110000033,3296.780402300001
144,0.1,0.17458570473723942,0.9389777777777778,0.399661886548996,0.8862,21.895393400000103,3318.675907300001
